time (s),strain (mm/mm),phase (pi radians)
4.498825000000000185e-01,8.520501893939394500e-03,2.182689557611583453e-04
4.504593000000000069e-01,8.531426136363637336e-03,1.652068207677048761e-04
4.491815000000000113e-01,8.507225378787879738e-03,2.392875336599820102e-04
4.498386999999999802e-01,8.519672348484849320e-03,2.602377872924499513e-04
4.482821000000000167e-01,8.490191287878789614e-03,3.473200693243638781e-04
4.505832000000000170e-01,8.533772727272728384e-03,3.563170653608782601e-04
4.499835999999999836e-01,8.522416666666665988e-03,3.681663438936944033e-04
4.498709000000000180e-01,8.520282196969698046e-03,4.247286173312270208e-04
4.465168999999999944e-01,8.456759469696970011e-03,4.260501988982978716e-04
4.490511999999999837e-01,8.504757575757575239e-03,4.149651753301286661e-04
4.491693999999999964e-01,8.506996212121212264e-03,3.839437106346599293e-04
4.495753000000000110e-01,8.514683712121213013e-03,3.479018524371602084e-04
4.537240000000000162e-01,8.593257575757577010e-03,3.283522348569434257e-04
4.526304999999999912e-01,8.572547348484848423e-03,3.062252918575314453e-04
4.575491999999999893e-01,8.665704545454545882e-03,3.609940184041704470e-04
4.564505999999999841e-01,8.644897727272726762e-03,3.243086830412300614e-04
4.575117000000000211e-01,8.664994318181819949e-03,5.100910186027762805e-04
4.593235999999999986e-01,8.699310606060606244e-03,5.093923370327324562e-04
4.573883999999999728e-01,8.662659090909090656e-03,6.295985642601475973e-04
4.554727000000000081e-01,8.626376893939392831e-03,6.300139541752791672e-04
4.529720999999999886e-01,8.579017045454545923e-03,6.979689240412811913e-04
4.511245999999999867e-01,8.544026515151514900e-03,7.131482862069438156e-04
4.531977999999999840e-01,8.583291666666666153e-03,7.497145085986200996e-04
4.536183999999999772e-01,8.591257575757575010e-03,6.077705883655859509e-04
4.553977000000000164e-01,8.624956439393940966e-03,6.423708074390077627e-04
4.542074999999999863e-01,8.602414772727271994e-03,4.966965495681874287e-04
4.574542999999999804e-01,8.663907196969697702e-03,5.379558182738719552e-04
4.595562999999999731e-01,8.703717803030301681e-03,5.557427828777328216e-04
4.586414999999999798e-01,8.686392045454545754e-03,5.943107573792572040e-04
4.606851000000000140e-01,8.725096590909092384e-03,6.104544617934193340e-04
4.592837000000000169e-01,8.698554924242424616e-03,7.290598902056633079e-04
4.543418000000000179e-01,8.604958333333334250e-03,8.208888157242855144e-04
4.563984999999999848e-01,8.643910984848485191e-03,7.858310340328467092e-04
4.500462000000000073e-01,8.523602272727272972e-03,7.596779575894663239e-04
4.527182000000000150e-01,8.574208333333332988e-03,7.687325540329803530e-04
4.516393000000000213e-01,8.553774621212121773e-03,6.872139045399627832e-04
4.517586000000000102e-01,8.556034090909091575e-03,5.723453135050293739e-04
4.530854999999999744e-01,8.581164772727273293e-03,5.518403006158356661e-04
4.559062999999999866e-01,8.634589015151515265e-03,4.948414180279137042e-04
4.586914000000000269e-01,8.687337121212121774e-03,4.760460603502325583e-04
4.576456999999999886e-01,8.667532196969697858e-03,3.910919554517278129e-04
4.569542999999999799e-01,8.654437500000000671e-03,3.693890694790313844e-04
4.576309000000000071e-01,8.667251893939395546e-03,4.284778309252557094e-04
4.562203000000000230e-01,8.640535984848485285e-03,4.858853798560547332e-04
4.542951000000000072e-01,8.604073863636364089e-03,5.095029718586996381e-04
4.546031999999999851e-01,8.609909090909089943e-03,3.892410956256586729e-04
4.529080999999999801e-01,8.577804924242423551e-03,3.501591943868564982e-04
4.553826999999999736e-01,8.624672348484848511e-03,2.532544138413861390e-04
4.534921000000000091e-01,8.588865530303030002e-03,2.707641035607499802e-04
4.567383999999999888e-01,8.650348484848484690e-03,4.011368851175589612e-05
4.567278000000000171e-01,8.650147727272726808e-03,3.726369006562535446e-05
4.587466000000000044e-01,8.688382575757576734e-03,-5.729854241232068546e-05
4.600676000000000210e-01,8.713401515151516022e-03,7.922736316778866694e-06
4.594732999999999734e-01,8.702145833333332567e-03,-3.848155545072007300e-05
4.616271000000000124e-01,8.742937500000000708e-03,2.916649882001021155e-05
4.614108000000000098e-01,8.738840909090909645e-03,4.068126768563828932e-06
4.621786999999999979e-01,8.753384469696970024e-03,1.660691346304643545e-04
4.596852000000000160e-01,8.706159090909090792e-03,1.556929147827901261e-04
4.587237000000000120e-01,8.687948863636362970e-03,6.914537248203789233e-05
4.587148999999999810e-01,8.687782196969697293e-03,1.318250148902855301e-04
4.576219999999999732e-01,8.667083333333333930e-03,1.112529533093820078e-04
4.583142000000000049e-01,8.680193181818183015e-03,2.150844435511167774e-05
4.583242000000000149e-01,8.680382575757575672e-03,-3.947801103154624514e-05
4.604543999999999859e-01,8.720727272727272356e-03,9.037726916738542116e-06
4.576540000000000052e-01,8.667689393939394249e-03,-1.007177896394928496e-04
4.609068000000000054e-01,8.729295454545454858e-03,-2.515116521519811243e-04
4.619472000000000023e-01,8.748999999999999833e-03,-3.213761735555431542e-04
4.634612000000000176e-01,8.777674242424243073e-03,-4.188207460399384630e-04
4.646080000000000210e-01,8.799393939393940212e-03,-4.854079431748647977e-04
4.649153999999999787e-01,8.805215909090908372e-03,-3.212620210683025945e-04
4.660249000000000197e-01,8.826229166666666251e-03,-3.303121678582821019e-04
4.690532000000000035e-01,8.883583333333333609e-03,-3.888271798971887350e-04
4.661808000000000063e-01,8.829181818181819352e-03,-2.318953459157224728e-04
4.674644000000000021e-01,8.853492424242423442e-03,-2.957365672512368704e-04
4.678597999999999923e-01,8.860981060606060514e-03,-2.458982425515010561e-04
4.663888999999999951e-01,8.833123106060606494e-03,-1.088481518474182508e-04
4.666658000000000195e-01,8.838367424242425663e-03,-1.207061860557523403e-04
4.652148999999999868e-01,8.810888257575756957e-03,-2.979801258962133659e-05
4.635135000000000227e-01,8.778664772727273052e-03,-3.187748050337280148e-05
4.609499000000000235e-01,8.730111742424242344e-03,-3.777692712536584452e-05
4.664579999999999838e-01,8.834431818181817664e-03,1.803127419197636527e-05
4.673384999999999900e-01,8.851107954545453516e-03,-3.109170426984775304e-05
4.657512999999999792e-01,8.821047348484847145e-03,-1.582823408952105382e-05
4.676595000000000057e-01,8.857187500000000477e-03,-6.349236491265397575e-05
4.708076999999999956e-01,8.916812499999999392e-03,-1.555965219066646199e-04
4.725928999999999824e-01,8.950623106060606043e-03,-9.766068542005346131e-05
4.764838000000000129e-01,9.024314393939393553e-03,-8.010735324004425451e-05
4.751795999999999798e-01,8.999613636363635455e-03,-4.945980194293042587e-07
4.758795000000000108e-01,9.012869318181819175e-03,7.819999451530446066e-05
4.760141999999999984e-01,9.015420454545454779e-03,1.275288518602923915e-04
4.767820999999999865e-01,9.029964015151515158e-03,1.548240682341939234e-04
4.770903000000000227e-01,9.035801136363636951e-03,2.716050308890771703e-04
4.776747000000000076e-01,9.046869318181818484e-03,2.321657203601112940e-04
4.797341999999999995e-01,9.085875000000000201e-03,2.807546531689020242e-04
4.754538999999999849e-01,9.004808712121212255e-03,3.110685488676434574e-04
4.753955999999999738e-01,9.003704545454545641e-03,2.952976292192044383e-04
4.749214999999999964e-01,8.994725378787879824e-03,3.433089332233185687e-04
4.748413000000000217e-01,8.993206439393939752e-03,3.013471868004158338e-04
4.766216999999999815e-01,9.026926136363636749e-03,1.907617785350534945e-04
4.770044999999999980e-01,9.034176136363637061e-03,2.110556812370267821e-04
4.760698999999999903e-01,9.016475378787879025e-03,1.476828516543404746e-04
4.786736999999999798e-01,9.065789772727272239e-03,1.777677645984354626e-04
4.798971000000000209e-01,9.088960227272728509e-03,1.030284041624307534e-04
4.821166000000000063e-01,9.130996212121211819e-03,1.126538403417587375e-04
4.822779999999999845e-01,9.134053030303030535e-03,9.693857260817395627e-05
4.812411999999999801e-01,9.114416666666666500e-03,2.055859587457575799e-04
4.855866999999999822e-01,9.196717803030302063e-03,1.658854459682945759e-04
4.841015000000000179e-01,9.168589015151515018e-03,1.199891022446442079e-04
4.837417999999999996e-01,9.161776515151515143e-03,2.303661689088132292e-04
4.816347999999999741e-01,9.121871212121211367e-03,2.558488634700761821e-04
4.820290999999999881e-01,9.129339015151515663e-03,2.705360466010997555e-04
4.837925000000000142e-01,9.162736742424243061e-03,3.293421928132200804e-04
4.837243999999999988e-01,9.161446969696970463e-03,4.288441201448778273e-04
4.813767999999999936e-01,9.116984848484848206e-03,3.974126800935229298e-04
4.793750999999999984e-01,9.079073863636363817e-03,3.771709366799935736e-04
4.830375000000000085e-01,9.148437500000000319e-03,3.075478112068985581e-04
4.813350000000000128e-01,9.116193181818181904e-03,3.912815211728482012e-04
4.789050999999999725e-01,9.070172348484848227e-03,3.351482456417365086e-04
4.802578000000000125e-01,9.095791666666666955e-03,3.808051716247540242e-04
4.767958999999999947e-01,9.030225378787878898e-03,3.871815438915016117e-04
4.779018999999999906e-01,9.051172348484848307e-03,3.594531943308387767e-04
4.771407999999999761e-01,9.036757575757574726e-03,3.832179605124386157e-04
4.794250999999999929e-01,9.080020833333332306e-03,3.397788018547620581e-04
4.789847999999999884e-01,9.071681818181817278e-03,3.255829315805813806e-04
4.783482000000000012e-01,9.059624999999999970e-03,3.605860110583725131e-04
4.776574000000000098e-01,9.046541666666666273e-03,3.701557443104297462e-04
4.790242000000000111e-01,9.072428030303029620e-03,2.905791341328844979e-04
4.791951999999999878e-01,9.075666666666665910e-03,3.605538228635962739e-04
4.800541999999999865e-01,9.091935606060605121e-03,3.784461962949015046e-04
4.824642000000000097e-01,9.137579545454545954e-03,3.353337309824899748e-04
4.795259000000000049e-01,9.081929924242424651e-03,3.261133015455275341e-04
4.804643000000000108e-01,9.099702651515152035e-03,2.727021035492382950e-04
4.810015999999999736e-01,9.109878787878788325e-03,3.295146277132454671e-04
4.830902999999999725e-01,9.149437499999999585e-03,2.513991536035042884e-04
4.833528000000000269e-01,9.154409090909091523e-03,2.483575838246876444e-04
4.848276000000000252e-01,9.182340909090909095e-03,2.718706911882806665e-04
4.836921000000000137e-01,9.160835227272727532e-03,2.909177504590854113e-04
4.837619000000000224e-01,9.162157196969698131e-03,2.637611843718801197e-04
4.821136999999999784e-01,9.130941287878788573e-03,2.262979869470660432e-04
4.835393000000000052e-01,9.157941287878787820e-03,2.785027229420533601e-04
4.863008999999999804e-01,9.210244318181817075e-03,2.113437291620945402e-04
4.840642000000000000e-01,9.167882575757575758e-03,1.682733047694284778e-04
4.870684000000000125e-01,9.224780303030302372e-03,1.569700389938422092e-04
4.841667000000000054e-01,9.169823863636364369e-03,1.772241090116644102e-04
4.865472000000000130e-01,9.214909090909091313e-03,1.130132145598095050e-04
4.879002000000000061e-01,9.240534090909090920e-03,1.950900724143611598e-04
4.870882000000000267e-01,9.225155303030304482e-03,1.396368337552855721e-04
4.862341000000000024e-01,9.208979166666667396e-03,6.089120035857042978e-05
4.893122999999999778e-01,9.267278409090909039e-03,4.272173266028911343e-05
4.875641000000000003e-01,9.234168560606060769e-03,-4.245027024663006188e-05
4.882375999999999938e-01,9.246924242424242255e-03,2.649763864004395231e-05
4.871327999999999769e-01,9.225999999999999826e-03,6.013933528503656589e-06
4.902279999999999971e-01,9.284621212121212802e-03,-9.386920241749585614e-05
4.915318000000000187e-01,9.309314393939394083e-03,-1.793304619039925996e-04
4.904213000000000044e-01,9.288282196969697632e-03,-2.540024534976037529e-04
4.889107999999999787e-01,9.259674242424242863e-03,-2.905687153104130616e-04
4.928663999999999823e-01,9.334590909090908703e-03,-3.249271440493028962e-04
4.943944000000000116e-01,9.363530303030302357e-03,-5.422784066333452557e-04
4.972256999999999927e-01,9.417153409090908006e-03,-6.217697348260831092e-04
4.966218000000000021e-01,9.405715909090908711e-03,-6.353322363255031746e-04
4.992848999999999760e-01,9.456153409090908846e-03,-6.858174528709959361e-04
4.980980999999999881e-01,9.433676136363635875e-03,-7.667964500712720621e-04
4.980868999999999991e-01,9.433464015151514503e-03,-7.574866589190598631e-04
4.963855999999999824e-01,9.401242424242423068e-03,-8.217166734948433415e-04
4.989939999999999931e-01,9.450643939393939263e-03,-7.519017780263093087e-04
4.960898000000000252e-01,9.395640151515151361e-03,-9.224170835775424848e-04
4.966662000000000021e-01,9.406556818181817381e-03,-9.153555367192867109e-04
4.958322000000000007e-01,9.390761363636363282e-03,-8.101541650537003036e-04
4.943325000000000080e-01,9.362357954545454802e-03,-9.452852193092553534e-04
4.922749000000000152e-01,9.323388257575757759e-03,-8.558803895275524098e-04
4.943693000000000115e-01,9.363054924242424776e-03,-9.050266135880447038e-04
4.916447999999999929e-01,9.311454545454546372e-03,-8.947549526092668515e-04
4.906924999999999759e-01,9.293418560606061044e-03,-9.057811003401194938e-04
4.909045000000000214e-01,9.297433712121213473e-03,-8.650507206300339647e-04
4.889867999999999992e-01,9.261113636363636770e-03,-7.308637827314612423e-04
4.893678000000000194e-01,9.268329545454546611e-03,-7.754916360804831044e-04
4.876725000000000088e-01,9.236221590909091811e-03,-7.013098564506714538e-04
4.896695999999999827e-01,9.274045454545454953e-03,-6.369655756887082632e-04
4.866533000000000109e-01,9.216918560606060865e-03,-5.538771236868189618e-04
4.862233000000000249e-01,9.208774621212121106e-03,-5.830385503845514350e-04
4.884292000000000078e-01,9.250553030303030819e-03,-5.120044790479783003e-04
4.864911000000000096e-01,9.213846590909090251e-03,-3.650509417341130103e-04
4.868258999999999781e-01,9.220187499999999217e-03,-4.169119057214620838e-04
4.869017999999999957e-01,9.221624999999998920e-03,-3.062737723377173538e-04
4.877929999999999766e-01,9.238503787878786858e-03,-3.680510908481426924e-04
4.889228999999999936e-01,9.259903409090910337e-03,-3.566460072379484814e-04
4.930445999999999995e-01,9.337965909090908609e-03,-3.033941400700790325e-04
4.915720000000000089e-01,9.310075757575758323e-03,-2.873104065410636565e-04
4.925231999999999943e-01,9.328090909090909141e-03,-3.169259267461477236e-04
4.939996999999999860e-01,9.356054924242424714e-03,-3.606997052398863701e-04
4.923181999999999836e-01,9.324208333333333654e-03,-4.491787444468320345e-04
4.938446000000000224e-01,9.353117424242425246e-03,-4.395880758920611697e-04
4.961214999999999931e-01,9.396240530303030802e-03,-5.779773472360805187e-04
4.943969999999999754e-01,9.363579545454546460e-03,-5.836853842966505113e-04
4.940685000000000215e-01,9.357357954545455006e-03,-6.057163634608508929e-04
4.954440999999999984e-01,9.383410984848485764e-03,-7.166003031235934628e-04
4.937233999999999789e-01,9.350821969696969035e-03,-6.654477878700326698e-04
4.913580000000000170e-01,9.306022727272728751e-03,-6.204854224136635565e-04
4.922619999999999774e-01,9.323143939393938387e-03,-8.163625921833173038e-04
4.911610000000000142e-01,9.302291666666667042e-03,-6.719856134227430999e-04
4.913058000000000147e-01,9.305034090909091241e-03,-6.364964652831872627e-04
4.910783000000000231e-01,9.300725378787878805e-03,-7.120951799879371436e-04
4.900140000000000051e-01,9.280568181818181495e-03,-6.266229449404248086e-04
4.920449000000000073e-01,9.319032196969697160e-03,-7.686163086334518724e-04
4.922646999999999995e-01,9.323195075757574959e-03,-7.124803748757013722e-04
4.898399999999999976e-01,9.277272727272726019e-03,-7.669961233529587474e-04
4.870232999999999923e-01,9.223926136363636008e-03,-7.190245989506793833e-04
4.875809999999999866e-01,9.234488636363636163e-03,-6.418620519488271725e-04
4.875368999999999953e-01,9.233653409090908371e-03,-6.900594663437065179e-04
4.896369999999999889e-01,9.273428030303029410e-03,-7.362368553645026736e-04
4.867173000000000194e-01,9.218130681818181502e-03,-6.379923183674751641e-04
4.870876000000000094e-01,9.225143939393939257e-03,-7.367401644526871962e-04
4.927128000000000063e-01,9.331681818181817092e-03,-7.494034142938588161e-04
4.884409000000000112e-01,9.250774621212121476e-03,-7.233148646609288690e-04
4.889071999999999862e-01,9.259606060606060188e-03,-7.514960910561807594e-04
4.893668999999999936e-01,9.268312500000000509e-03,-7.452499718387795014e-04
4.908524000000000220e-01,9.296446969696970167e-03,-7.803984042683564937e-04
4.913829000000000113e-01,9.306494318181817924e-03,-9.046300610558999367e-04
4.910321999999999742e-01,9.299852272727272134e-03,-8.603622848134540035e-04
4.898108999999999935e-01,9.276721590909090681e-03,-8.197082609577854839e-04
4.914768999999999943e-01,9.308274621212121736e-03,-8.395678711504706015e-04
4.911722000000000032e-01,9.302503787878788413e-03,-8.918477813927294662e-04
4.936688000000000187e-01,9.349787878787879300e-03,-8.257539248004430732e-04
4.954552999999999874e-01,9.383623106060607136e-03,-9.477301060549780942e-04
4.936563999999999952e-01,9.349553030303030948e-03,-9.385102979041493043e-04
4.935612999999999806e-01,9.347751893939392626e-03,-9.038732414332617537e-04
4.934411000000000214e-01,9.345475378787878457e-03,-8.892421568378328089e-04
4.953509999999999858e-01,9.381647727272726320e-03,-9.141117044597635299e-04
4.946503999999999901e-01,9.368378787878788375e-03,-9.282421114428229814e-04
4.950693999999999928e-01,9.376314393939393435e-03,-9.545431291182460143e-04
4.951107000000000147e-01,9.377096590909090451e-03,-9.478665077161663177e-04
4.984552999999999900e-01,9.440441287878787585e-03,-9.052258121002854097e-04
4.964293000000000178e-01,9.402070075757575779e-03,-8.942085868735016874e-04
4.977913999999999950e-01,9.427867424242423675e-03,-1.021152464295793649e-03
4.969044000000000239e-01,9.411068181818181902e-03,-8.696026200452067201e-04
4.981731999999999827e-01,9.435098484848483680e-03,-9.764629559679827153e-04
4.975548000000000193e-01,9.423386363636364685e-03,-8.945041032434319916e-04
5.001476999999999729e-01,9.472494318181817405e-03,-9.248298454059833418e-04
4.999041000000000179e-01,9.467880681818183208e-03,-8.821857632571594721e-04
5.002410999999999941e-01,9.474263257575757727e-03,-8.930251361299879065e-04
4.980172999999999961e-01,9.432145833333334048e-03,-9.738978076280213614e-04
4.999333999999999723e-01,9.468435606060605220e-03,-8.599613676052442202e-04
4.976184000000000163e-01,9.424590909090908505e-03,-9.967396798541416914e-04
4.998834999999999806e-01,9.467490530303029200e-03,-9.262367180332686800e-04
5.010124999999999718e-01,9.488873106060604842e-03,-9.427127644816568619e-04
4.970166999999999780e-01,9.413195075757576497e-03,-9.260781827523656418e-04
5.005399999999999849e-01,9.479924242424242822e-03,-8.650113442268958508e-04
5.016505999999999466e-01,9.500958333333331743e-03,-8.915981019093077720e-04
4.997786000000000173e-01,9.465503787878788364e-03,-8.502001521566437958e-04
5.002910000000000412e-01,9.475208333333333746e-03,-9.119395464546320440e-04
4.992059999999999831e-01,9.454659090909091693e-03,-8.069867262647800743e-04
5.018996999999999487e-01,9.505676136363636758e-03,-7.739032196695250221e-04
4.977660999999999891e-01,9.427388257575757685e-03,-7.899947736486057082e-04
4.972914999999999974e-01,9.418399621212120848e-03,-6.439777478634001184e-04
4.956458000000000252e-01,9.387231060606061189e-03,-5.469128856865346222e-04
4.963086999999999915e-01,9.399785984848484793e-03,-5.455029034426850387e-04
4.951292999999999944e-01,9.377448863636363846e-03,-4.628671167230535843e-04
4.935976000000000252e-01,9.348439393939393313e-03,-4.042335917930905964e-04
4.926725000000000132e-01,9.330918560606060383e-03,-3.603427100244971371e-04
4.897862000000000049e-01,9.276253787878788182e-03,-1.801757882554655410e-04
4.905038999999999927e-01,9.289846590909089930e-03,-1.324154679818168034e-04
4.880858000000000141e-01,9.244049242424242849e-03,-4.495922318314971022e-05
4.902576000000000156e-01,9.285181818181817426e-03,-8.069763562268406076e-06
4.875045000000000073e-01,9.233039772727272970e-03,-1.029244875438983797e-05
4.872177999999999787e-01,9.227609848484847818e-03,1.325956161358776697e-04
4.849806999999999868e-01,9.185240530303031420e-03,4.186903631020477690e-06
4.862158999999999787e-01,9.208634469696969083e-03,1.331240863209348646e-04
4.873270000000000102e-01,9.229678030303030759e-03,1.099784568795447726e-04
4.871577000000000268e-01,9.226471590909090734e-03,1.093006669036222789e-04
4.868128999999999929e-01,9.219941287878787375e-03,7.957603568020665818e-05
4.850705000000000156e-01,9.186941287878787332e-03,6.729044316111654211e-05
4.856215999999999866e-01,9.197378787878787362e-03,3.783652687749938792e-05
4.864017999999999953e-01,9.212155303030303624e-03,-3.687652208617109295e-05
4.864129999999999843e-01,9.212367424242423261e-03,-3.328472407559956991e-05
4.895148000000000277e-01,9.271113636363636362e-03,-3.667932527728900993e-05
4.869631999999999850e-01,9.222787878787878924e-03,-8.795808369255198045e-05
4.872315999999999869e-01,9.227871212121211558e-03,-6.813913945591387744e-05
4.887791000000000219e-01,9.257179924242424710e-03,-1.640819162891382632e-04
4.864334000000000158e-01,9.212753787878788861e-03,-2.318653810823301242e-04
4.865664000000000100e-01,9.215272727272726463e-03,-2.961110279992018590e-04
4.867431999999999870e-01,9.218621212121210981e-03,-3.998737711767841319e-04
4.916613000000000233e-01,9.311767045454544950e-03,-5.699419562739116429e-04
4.888658000000000170e-01,9.258821969696970702e-03,-5.963813189238109658e-04
4.881637999999999811e-01,9.245526515151513899e-03,-6.371837530296797780e-04
4.844725999999999755e-01,9.175617424242422937e-03,-6.374645698837833052e-04
4.850715999999999917e-01,9.186962121212120108e-03,-6.188788894549990260e-04
4.879642000000000146e-01,9.241746212121213291e-03,-6.698767712250974782e-04
4.836575000000000180e-01,9.160179924242424845e-03,-7.519048056393584645e-04
4.850103000000000053e-01,9.185801136363636044e-03,-7.606715741507175110e-04
4.830938000000000176e-01,9.149503787878788055e-03,-7.473169825495951102e-04
4.838127999999999873e-01,9.163121212121210987e-03,-6.848912903558712628e-04
4.864562000000000053e-01,9.213185606060604951e-03,-8.726330971418061466e-04
4.851181999999999994e-01,9.187844696969697800e-03,-8.263586070406114814e-04
4.839060000000000028e-01,9.164886363636364636e-03,-7.467640481795267959e-04
4.834455999999999753e-01,9.156166666666666620e-03,-7.786724416131152182e-04
4.877523999999999749e-01,9.237734848484847536e-03,-8.216122749856724639e-04
4.884105000000000252e-01,9.250198863636363220e-03,-9.724933242917233045e-04
4.895498999999999823e-01,9.271778409090910070e-03,-9.849813090607728583e-04
4.881369999999999876e-01,9.245018939393940052e-03,-1.003585697024300671e-03
4.880233999999999961e-01,9.242867424242424274e-03,-1.046061410441945227e-03
4.890479999999999827e-01,9.262272727272726630e-03,-9.904971501366599540e-04
4.873550999999999855e-01,9.230210227272727525e-03,-1.054836760969624088e-03
4.873739999999999739e-01,9.230568181818181797e-03,-1.038839833346294483e-03
4.870710999999999791e-01,9.224831439393938945e-03,-1.164666056658991700e-03
4.876473000000000058e-01,9.235744318181818291e-03,-1.072870435654960097e-03
4.874593999999999872e-01,9.232185606060606606e-03,-1.041086998448070844e-03
4.862948000000000270e-01,9.210128787878787970e-03,-1.079528630856807503e-03
4.869756000000000085e-01,9.223022727272727275e-03,-1.024601185488527300e-03
4.853913999999999729e-01,9.193018939393940089e-03,-9.244224191021777060e-04
4.854279000000000233e-01,9.193710227272727450e-03,-9.388687319361599393e-04
4.887257999999999880e-01,9.256170454545454424e-03,-9.719528314964254179e-04
4.867698999999999776e-01,9.219126893939394093e-03,-9.581288602732440651e-04
4.879363999999999923e-01,9.241219696969695668e-03,-9.210657537481736767e-04
4.884241000000000277e-01,9.250456439393940286e-03,-9.916656334291173991e-04
4.907514000000000043e-01,9.294534090909091148e-03,-9.147257283002030448e-04
4.926421000000000272e-01,9.330342803030303861e-03,-9.180803847029794795e-04
4.924058000000000046e-01,9.325867424242425749e-03,-1.079992418573705315e-03
4.950028000000000206e-01,9.375053030303032164e-03,-1.018817942349703465e-03
4.955899999999999750e-01,9.386174242424241004e-03,-1.095206136291548837e-03
4.955512999999999724e-01,9.385441287878788091e-03,-1.048317834162926232e-03
4.985767999999999867e-01,9.442742424242424673e-03,-1.025595003255053150e-03
4.965010000000000256e-01,9.403428030303031052e-03,-1.207656604279128132e-03
4.986694999999999878e-01,9.444498106060605566e-03,-1.135753866499999987e-03
4.986094999999999833e-01,9.443361742424242686e-03,-1.217626811716776558e-03
5.014608999999999872e-01,9.497365530303031322e-03,-1.189951276291734139e-03
5.027129000000000181e-01,9.521077651515151910e-03,-1.352589191081832176e-03
5.044085999999999848e-01,9.553193181818181792e-03,-1.248386538524992595e-03
5.037228000000000261e-01,9.540204545454546159e-03,-1.254415442805689729e-03
5.045404000000000000e-01,9.555689393939394150e-03,-1.349806391932606431e-03
5.055224999999999858e-01,9.574289772727272510e-03,-1.252137889630744461e-03
5.078740000000000476e-01,9.618825757575758320e-03,-1.286023443120565268e-03
5.073440999999999645e-01,9.608789772727272319e-03,-1.199261505358206747e-03
5.087211999999999845e-01,9.634871212121210934e-03,-1.264009471156235520e-03
5.094347000000000181e-01,9.648384469696969987e-03,-1.202165488644602043e-03
5.095813000000000148e-01,9.651160984848484656e-03,-1.231841317071658004e-03
5.089574999999999516e-01,9.639346590909089046e-03,-1.046915799365444322e-03
5.102529999999999566e-01,9.663882575757573937e-03,-1.193538607014099640e-03
5.071375000000000188e-01,9.604876893939393034e-03,-1.101705005466468990e-03
5.110084000000000293e-01,9.678189393939395230e-03,-1.311063859232075579e-03
5.104819000000000440e-01,9.668217803030303495e-03,-1.224619504167079320e-03
5.096524000000000054e-01,9.652507575757576438e-03,-1.266686510868142435e-03
